AMPS,VOLTS,TEMP,DELTA,GAMMA,OUTPUT,MODE_REDACTED,MODE_auto,MODE_beam,MODE_burst,POWER_high,POWER_low
0.361,0.724,-2.505,-0.066,0.322,1.879,0.0,1.0,0.0,0.0,0.0,1.0
0.277,2.425,91.047,0.598,-1.739,2.457,0.0,0.0,1.0,0.0,0.0,1.0
0.875,2.866,16.64,-0.812,-0.715,1.215,0.0,0.0,1.0,0.0,0.0,1.0
0.561,2.858,-58.454999999999984,-0.493,0.895,2.134,0.0,1.0,0.0,0.0,0.0,1.0
0.167,1.503,-74.49699999999999,-0.649,-0.653,-5.791,0.0,1.0,0.0,0.0,1.0,0.0
0.828,1.207,-78.99699999999999,-0.001,-1.08,-6.276,0.0,0.0,1.0,0.0,0.0,1.0
0.532,5.747,13.237,0.491,-0.639,-0.313,0.0,0.0,0.0,1.0,0.0,1.0
0.74,1.164,-7.703999999999951,0.756,1.047,1.979,1.0,0.0,0.0,0.0,1.0,0.0
0.484,3.66,-31.111,-0.598,-1.022,-0.361,0.0,0.0,0.0,1.0,0.0,1.0
0.165,1.12,37.958,-0.039,1.076,-0.099,0.0,0.0,0.0,1.0,0.0,1.0
0.342,0.432,61.997,-0.096,-0.711,1.827,0.0,1.0,0.0,0.0,0.0,1.0
0.144,1.12,-65.43799999999999,-0.248,-0.515,2.129,0.0,1.0,0.0,0.0,0.0,1.0
0.566,3.158,33.20700000000005,0.257,-0.335,0.01,0.0,0.0,0.0,1.0,0.0,1.0
0.721,0.858,-30.441,-0.063,0.213,2.571,1.0,0.0,0.0,0.0,1.0,0.0
0.198,3.382,16.168000000000006,-0.339,-0.017,2.44,0.0,1.0,0.0,0.0,0.0,1.0
0.35,4.257,1.43100000000004,0.991,-0.335,2.466,0.0,1.0,0.0,0.0,0.0,1.0
0.449,1.259,-54.83,-0.101,-1.24,-2.305,0.0,0.0,1.0,0.0,0.0,1.0
0.257,3.278,-77.028,-0.052,-0.161,-0.285,1.0,0.0,0.0,0.0,0.0,1.0
0.886,2.693,-72.947,-0.687,-0.778,-3.052,1.0,0.0,0.0,0.0,0.0,1.0
0.208,4.325,-0.5569999999999595,-0.61,0.651,-0.065,0.0,0.0,1.0,0.0,0.0,1.0
0.641,1.766,65.757,0.61,0.845,4.06,1.0,0.0,0.0,0.0,1.0,0.0
0.749,6.675,-38.44199999999998,-0.671,0.53,2.55,0.0,1.0,0.0,0.0,0.0,1.0
0.935,0.025,50.521,-0.336,-0.323,-4.707,0.0,1.0,0.0,0.0,1.0,0.0
0.608,0.25,-6.002,-0.729,-1.23,-0.325,0.0,0.0,1.0,0.0,0.0,1.0
0.528,0.829,-68.46999999999997,-0.342,-1.143,-1.407,1.0,0.0,0.0,0.0,0.0,1.0
0.834,4.651,12.506,-0.135,-0.287,-0.006,0.0,0.0,0.0,1.0,0.0,1.0
0.983,1.604,-100.0,0.437,0.037,-5.073,0.0,1.0,0.0,0.0,1.0,0.0
0.396,4.669,-4.651,-0.16,0.481,0.034,1.0,0.0,0.0,0.0,0.0,1.0
0.539,0.999,-84.269,-0.572,0.018,-5.361,0.0,1.0,0.0,0.0,1.0,0.0
0.413,2.968,-21.678,0.423,1.074,2.173,0.0,1.0,0.0,0.0,0.0,1.0
0.084,2.057,-31.053999999999974,-0.581,-0.818,-6.122,0.0,1.0,0.0,0.0,1.0,0.0
0.166,0.357,28.73,0.833,0.128,1.663,0.0,1.0,0.0,0.0,0.0,1.0
0.622,2.262,54.92900000000003,0.358,-1.38,4.373,0.0,0.0,0.0,1.0,1.0,0.0
0.708,0.852,6.328,-0.973,0.294,0.382,1.0,0.0,0.0,0.0,0.0,1.0
0.802,0.566,2.13900000000001,-0.124,-0.22,-0.035,0.0,0.0,1.0,0.0,1.0,0.0
0.427,1.117,-57.522,0.646,-0.047,-5.613,0.0,1.0,0.0,0.0,1.0,0.0
0.268,0.428,19.308,0.262,-0.41,2.314,0.0,1.0,0.0,0.0,0.0,1.0
0.244,2.778,-6.530999999999949,-0.944,0.895,-0.063,1.0,0.0,0.0,0.0,0.0,1.0
0.35,0.325,-34.966,-0.349,-0.337,-5.49,0.0,1.0,0.0,0.0,1.0,0.0
0.278,3.233,-100.0,-0.095,1.132,3.964,1.0,0.0,0.0,0.0,1.0,0.0
0.636,1.633,-39.211,0.58,-0.076,-0.967,1.0,0.0,0.0,0.0,0.0,1.0
0.701,0.532,-54.91399999999999,0.735,0.133,3.615,1.0,0.0,0.0,0.0,1.0,0.0
0.644,1.935,5.594,-0.944,-1.454,-0.266,0.0,0.0,0.0,1.0,0.0,1.0
0.363,2.298,-60.711,0.2,-1.194,-0.108,0.0,0.0,0.0,1.0,0.0,1.0
0.955,0.41,-13.4,0.434,0.758,0.297,0.0,0.0,0.0,1.0,1.0,0.0
0.294,1.644,70.498,0.386,-0.28,0.152,0.0,0.0,1.0,0.0,1.0,0.0
0.132,0.745,-20.493,0.818,-0.023,1.704,0.0,1.0,0.0,0.0,0.0,1.0
0.204,5.81,44.89300000000003,-0.735,0.467,0.787,0.0,0.0,1.0,0.0,0.0,1.0
0.607,2.905,25.415,0.711,0.371,1.334,1.0,0.0,0.0,0.0,0.0,1.0
0.38,2.836,62.6,-0.898,0.075,1.923,1.0,0.0,0.0,0.0,0.0,1.0
0.34,2.174,7.9220000000000255,-0.326,-0.059,0.151,0.0,0.0,1.0,0.0,1.0,0.0
0.112,1.221,19.129999999999995,0.765,-0.177,-5.923,0.0,1.0,0.0,0.0,1.0,0.0
0.908,0.848,43.151,0.053,-0.984,-4.291,0.0,1.0,0.0,0.0,1.0,0.0
0.229,4.212,-65.54899999999998,-0.218,-0.537,-0.473,0.0,0.0,1.0,0.0,1.0,0.0
0.341,1.06,36.446,0.395,-0.58,1.044,1.0,0.0,0.0,0.0,0.0,1.0
0.339,3.663,70.03400000000005,-0.148,-0.388,0.684,0.0,0.0,1.0,0.0,1.0,0.0
0.945,0.757,26.49200000000002,0.08,-0.573,0.699,0.0,0.0,1.0,0.0,1.0,0.0
0.366,5.169,16.26,0.522,0.124,-5.611,0.0,1.0,0.0,0.0,1.0,0.0
0.749,2.124,72.015,0.218,-0.585,4.743,0.0,0.0,1.0,0.0,0.0,1.0
0.454,0.306,27.752,-0.391,0.725,-5.259,0.0,1.0,0.0,0.0,1.0,0.0
0.52,1.318,26.922000000000025,0.351,-0.691,-4.799,0.0,1.0,0.0,0.0,1.0,0.0
0.663,0.635,29.177999999999997,-0.203,0.03,2.286,0.0,0.0,0.0,1.0,1.0,0.0
0.887,1.418,-71.58999999999997,0.729,-0.503,-0.188,0.0,0.0,0.0,1.0,0.0,1.0
0.487,2.715,18.751,0.187,1.567,1.721,0.0,0.0,0.0,1.0,1.0,0.0
0.894,1.94,-41.889,0.058,-0.895,-3.331,0.0,0.0,1.0,0.0,0.0,1.0
0.608,1.585,24.347,0.806,0.601,0.788,1.0,0.0,0.0,0.0,0.0,1.0
0.709,0.494,46.33,-0.172,-0.227,0.012,0.0,0.0,0.0,1.0,0.0,1.0
0.848,2.341,-69.489,-0.485,0.547,0.018,0.0,0.0,0.0,1.0,0.0,1.0
0.822,7.139,33.632,-0.497,-0.37,0.152,0.0,0.0,1.0,0.0,1.0,0.0
0.887,2.854,-69.734,0.271,0.645,-2.509,1.0,0.0,0.0,0.0,0.0,1.0
0.133,3.022,42.732,-0.649,-0.532,-0.195,0.0,0.0,0.0,1.0,0.0,1.0
0.506,2.39,43.664,0.906,-0.034,1.92,0.0,1.0,0.0,0.0,0.0,1.0
0.623,1.709,44.201,-0.467,-0.711,-5.691,0.0,1.0,0.0,0.0,1.0,0.0
0.176,2.692,54.377,0.601,-0.195,0.855,0.0,0.0,1.0,0.0,0.0,1.0
0.006,0.623,4.771,0.05,0.456,2.084,0.0,1.0,0.0,0.0,0.0,1.0
0.529,1.616,-100.0,-0.846,-0.012,-2.152,1.0,0.0,0.0,0.0,0.0,1.0
0.326,8.304,-77.44,-0.273,0.177,-1.486,0.0,0.0,0.0,1.0,1.0,0.0
0.295,3.05,-69.264,0.487,-2.0,-0.237,0.0,0.0,1.0,0.0,1.0,0.0
0.488,0.607,-15.055,-0.464,-0.119,-1.046,0.0,0.0,1.0,0.0,0.0,1.0
0.81,0.854,100.0,0.078,0.11,9.274,0.0,0.0,0.0,1.0,1.0,0.0
0.722,0.337,19.45,-0.54,-0.059,-0.045,0.0,0.0,1.0,0.0,1.0,0.0
0.181,3.154,-1.724,0.674,-0.437,-5.589,0.0,1.0,0.0,0.0,1.0,0.0
0.02,0.793,-38.53899999999999,-0.615,0.089,0.304,0.0,0.0,1.0,0.0,1.0,0.0
0.314,2.132,-76.138,-0.104,-0.579,-4.792,0.0,1.0,0.0,0.0,1.0,0.0
0.488,2.107,-5.333,0.596,-0.002,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.102,0.631,69.10900000000004,-0.402,-0.654,0.88,0.0,0.0,1.0,0.0,0.0,1.0
0.95,1.265,-19.641,0.819,0.262,2.186,0.0,1.0,0.0,0.0,0.0,1.0
0.754,0.593,-62.98,0.748,0.397,1.966,0.0,1.0,0.0,0.0,0.0,1.0
0.427,1.173,-55.382,-0.303,-0.218,1.789,0.0,1.0,0.0,0.0,0.0,1.0
0.875,2.128,55.86400000000003,0.26,-0.992,3.619,1.0,0.0,0.0,0.0,1.0,0.0
0.472,1.175,-20.661,-0.244,-0.352,-1.14,0.0,0.0,1.0,0.0,0.0,1.0
0.084,0.493,10.367,0.854,-0.711,1.953,0.0,1.0,0.0,0.0,0.0,1.0
0.425,0.422,-44.956,-0.148,-0.814,-0.532,0.0,0.0,0.0,1.0,1.0,0.0
0.074,2.455,-42.45399999999998,0.215,0.943,3.295,1.0,0.0,0.0,0.0,1.0,0.0
0.559,1.779,62.994,-0.103,1.511,0.317,0.0,0.0,0.0,1.0,0.0,1.0
0.89,2.833,23.89,0.173,-1.369,1.556,0.0,0.0,1.0,0.0,0.0,1.0
0.266,0.518,-10.216999999999985,-0.53,-0.076,0.228,1.0,0.0,0.0,0.0,0.0,1.0
0.916,3.291,-12.843,-0.187,-0.254,2.513,0.0,1.0,0.0,0.0,0.0,1.0
0.0,3.718,7.78,-0.877,-0.07,-0.008,0.0,0.0,1.0,0.0,0.0,1.0
0.657,0.779,59.156000000000006,-0.169,0.307,3.97,0.0,0.0,1.0,0.0,0.0,1.0
0.65,3.184,30.108,-0.446,0.429,1.265,1.0,0.0,0.0,0.0,0.0,1.0
0.687,2.412,-17.044,0.508,-0.371,-1.062,0.0,0.0,1.0,0.0,0.0,1.0
0.339,3.605,-34.452,0.107,0.513,-0.522,0.0,0.0,1.0,0.0,1.0,0.0
0.206,1.644,-70.01299999999998,-0.451,-0.518,-1.367,0.0,0.0,1.0,0.0,0.0,1.0
0.718,1.317,25.825,0.444,0.724,2.949,1.0,0.0,0.0,0.0,1.0,0.0
0.464,2.139,13.721,0.284,-0.125,0.805,0.0,0.0,1.0,0.0,0.0,1.0
0.016,1.943,-24.696,-0.125,0.061,-0.033,0.0,0.0,1.0,0.0,1.0,0.0
0.417,0.388,-33.252,0.591,0.072,-5.492,0.0,1.0,0.0,0.0,1.0,0.0
0.142,0.347,24.809,0.676,-1.303,0.485,0.0,0.0,1.0,0.0,0.0,1.0
0.583,1.239,-2.23,0.155,0.701,-0.376,0.0,0.0,1.0,0.0,0.0,1.0
0.102,4.498,66.04,-0.495,0.403,2.18,0.0,1.0,0.0,0.0,0.0,1.0
0.628,2.421,18.559000000000026,0.327,0.622,0.083,0.0,0.0,0.0,1.0,0.0,1.0
0.777,1.051,-43.758,-0.548,-0.01,-3.579,0.0,0.0,1.0,0.0,0.0,1.0
0.514,1.035,4.888000000000034,-0.561,-0.03,-5.321,0.0,1.0,0.0,0.0,1.0,0.0
0.393,1.555,39.65,-0.055,0.423,3.466,1.0,0.0,0.0,0.0,1.0,0.0
0.258,1.051,13.007,-0.267,-0.611,2.392,1.0,0.0,0.0,0.0,1.0,0.0
0.582,0.738,-43.025,0.611,-1.09,-1.258,1.0,0.0,0.0,0.0,0.0,1.0
0.445,0.179,-30.394,-0.768,0.469,-5.68,0.0,1.0,0.0,0.0,1.0,0.0
0.358,2.145,-76.64599999999999,-0.896,-1.231,-0.24,0.0,0.0,1.0,0.0,1.0,0.0
0.07,2.48,31.45,-0.191,1.333,0.156,0.0,0.0,0.0,1.0,0.0,1.0
0.602,0.183,-57.235,-0.446,0.961,-0.153,0.0,0.0,0.0,1.0,0.0,1.0
0.494,1.791,-15.0,-0.247,0.133,0.505,0.0,0.0,0.0,1.0,0.0,1.0
0.587,2.485,-22.678,0.935,-0.592,-0.883,0.0,0.0,1.0,0.0,0.0,1.0
0.983,5.072,99.43700000000001,-0.756,1.43,7.409,0.0,0.0,1.0,0.0,0.0,1.0
0.724,2.189,-54.784,-0.025,-0.386,-1.635,1.0,0.0,0.0,0.0,0.0,1.0
0.231,1.473,-21.57099999999997,-0.716,-0.431,-0.635,0.0,0.0,1.0,0.0,0.0,1.0
0.181,0.715,-75.296,-0.868,0.87,-0.591,0.0,0.0,0.0,1.0,1.0,0.0
0.777,1.039,95.067,0.833,-0.357,-0.099,0.0,0.0,0.0,1.0,0.0,1.0
0.315,2.171,-58.792,0.986,0.663,-0.202,0.0,0.0,0.0,1.0,0.0,1.0
0.957,1.098,29.168,0.144,-0.002,1.711,1.0,0.0,0.0,0.0,0.0,1.0
0.31,4.168,22.239000000000033,-0.366,-1.066,2.252,0.0,1.0,0.0,0.0,0.0,1.0
0.842,1.832,28.63100000000003,-0.504,-0.816,2.068,0.0,1.0,0.0,0.0,0.0,1.0
0.05,1.585,-43.006,0.219,-0.01,-0.157,0.0,0.0,0.0,1.0,0.0,1.0
0.023,3.177,-44.432,-0.432,0.718,0.936,1.0,0.0,0.0,0.0,0.0,1.0
0.349,0.466,-39.454999999999984,-0.547,-0.983,1.672,0.0,1.0,0.0,0.0,0.0,1.0
0.268,1.863,15.982,0.602,-0.237,0.865,0.0,0.0,1.0,0.0,0.0,1.0
0.113,0.886,90.023,0.045,-0.555,3.811,1.0,0.0,0.0,0.0,1.0,0.0
0.147,8.508,10.518000000000029,0.002,0.454,-0.317,0.0,0.0,1.0,0.0,1.0,0.0
0.902,4.854,27.314,0.634,-0.248,1.901,0.0,0.0,1.0,0.0,0.0,1.0
0.435,2.193,-85.59899999999999,0.409,-0.668,-0.473,0.0,0.0,1.0,0.0,1.0,0.0
0.729,1.389,-69.827,-0.688,0.049,-1.789,1.0,0.0,0.0,0.0,0.0,1.0
0.226,0.854,38.973,0.781,-0.247,1.168,0.0,0.0,1.0,0.0,0.0,1.0
0.06,2.733,-62.988999999999976,-0.905,-0.164,0.284,1.0,0.0,0.0,0.0,0.0,1.0
0.943,2.855,68.761,-0.35,0.247,0.746,0.0,0.0,1.0,0.0,1.0,0.0
0.789,5.933,-12.538,-0.343,-0.793,2.754,1.0,0.0,0.0,0.0,1.0,0.0
0.0,1.712,-17.774999999999977,0.223,-0.289,1.809,0.0,1.0,0.0,0.0,0.0,1.0
0.454,3.788,-68.147,-0.023,-1.238,-2.516,0.0,0.0,1.0,0.0,0.0,1.0
0.694,3.395,-2.207,-0.363,0.463,-0.318,0.0,0.0,1.0,0.0,0.0,1.0
0.943,0.843,30.665999999999997,-0.894,-1.762,2.072,1.0,0.0,0.0,0.0,0.0,1.0
0.026,0.485,64.632,0.407,-0.828,0.113,0.0,0.0,1.0,0.0,0.0,1.0
0.54,0.818,-93.716,0.005,-0.409,-5.68,0.0,0.0,1.0,0.0,0.0,1.0
0.337,1.864,-56.329,0.243,-1.623,3.153,1.0,0.0,0.0,0.0,1.0,0.0
0.181,0.897,45.459,-0.915,-1.419,0.209,0.0,0.0,0.0,1.0,0.0,1.0
0.196,3.628,-36.21599999999998,0.037,-0.916,3.543,1.0,0.0,0.0,0.0,1.0,0.0
0.035,0.209,-16.814,-0.067,-0.175,0.418,0.0,0.0,1.0,0.0,0.0,1.0
0.555,3.721,22.80800000000005,0.264,0.163,1.154,1.0,0.0,0.0,0.0,0.0,1.0
0.577,5.216,-27.068,0.884,0.642,-0.429,1.0,0.0,0.0,0.0,0.0,1.0
0.575,1.267,-54.846,-0.875,-0.105,-0.276,0.0,0.0,1.0,0.0,1.0,0.0
0.853,4.129,-99.99999999999997,0.663,0.112,-3.669,1.0,0.0,0.0,0.0,0.0,1.0
0.881,3.16,-1.65,-0.973,-0.552,-0.021,0.0,0.0,0.0,1.0,0.0,1.0
0.926,1.965,35.089,-0.015,0.685,3.285,0.0,0.0,0.0,1.0,1.0,0.0
0.681,2.712,-22.414,0.472,-0.058,-0.199,0.0,0.0,1.0,0.0,1.0,0.0
0.74,0.557,46.45700000000005,0.889,-0.134,0.162,0.0,0.0,1.0,0.0,1.0,0.0
0.236,1.349,-50.633999999999986,-0.752,-0.543,-0.851,0.0,0.0,1.0,0.0,0.0,1.0
0.666,2.758,-5.811,0.753,-0.905,1.04,0.0,0.0,0.0,1.0,1.0,0.0
0.409,0.994,95.131,-0.106,0.539,0.024,0.0,0.0,0.0,1.0,0.0,1.0
0.849,1.775,-12.254,-0.953,1.303,-0.772,0.0,0.0,1.0,0.0,0.0,1.0
0.924,3.18,-1.924,-0.086,-0.704,-0.494,0.0,0.0,0.0,1.0,0.0,1.0
0.877,0.592,-15.074,-0.118,0.105,-1.211,0.0,0.0,1.0,0.0,0.0,1.0
0.415,3.415,-51.143,-0.935,1.005,-0.57,1.0,0.0,0.0,0.0,0.0,1.0
0.294,6.969,-61.527,0.109,0.066,2.137,0.0,1.0,0.0,0.0,0.0,1.0
0.303,2.416,-54.611,-0.096,-0.858,-0.271,0.0,0.0,0.0,1.0,1.0,0.0
0.091,1.072,51.872,-0.919,-0.589,1.812,0.0,1.0,0.0,0.0,0.0,1.0
0.069,1.649,-57.09499999999997,-0.105,-0.887,1.971,0.0,1.0,0.0,0.0,0.0,1.0
0.572,1.79,19.915,-0.035,-0.18,1.194,0.0,0.0,1.0,0.0,0.0,1.0
0.413,0.433,49.516,0.541,-1.587,-5.575,0.0,1.0,0.0,0.0,1.0,0.0
0.576,2.032,-59.244,-0.44,-0.949,2.366,0.0,1.0,0.0,0.0,0.0,1.0
0.125,0.672,23.279,0.562,-0.093,-5.652,0.0,1.0,0.0,0.0,1.0,0.0
0.152,2.476,-373.15,0.33,-1.064,-0.405,1.0,0.0,0.0,0.0,0.0,1.0
0.989,0.913,10.361000000000047,0.264,-1.112,1.732,0.0,0.0,0.0,1.0,1.0,0.0
0.749,1.708,38.517,-0.238,-0.181,2.887,1.0,0.0,0.0,0.0,1.0,0.0
0.99,0.463,36.876,0.761,-0.884,0.034,0.0,0.0,1.0,0.0,1.0,0.0
0.773,0.607,36.93,0.707,-1.225,-5.318,0.0,1.0,0.0,0.0,1.0,0.0
0.537,3.667,17.513,-0.819,-0.369,-0.176,0.0,0.0,0.0,1.0,0.0,1.0
0.186,0.226,24.549,-0.607,0.45,1.35,0.0,0.0,0.0,1.0,1.0,0.0
0.432,4.47,-11.07899999999995,-0.377,0.415,0.154,0.0,0.0,0.0,1.0,0.0,1.0
0.612,1.539,46.097,0.494,-0.195,3.213,1.0,0.0,0.0,0.0,1.0,0.0
0.702,1.73,7.664,-0.591,1.596,0.532,0.0,0.0,1.0,0.0,0.0,1.0
0.146,1.303,-38.397,0.445,0.024,0.159,0.0,0.0,0.0,1.0,0.0,1.0
0.274,0.496,-59.87099999999998,0.225,-1.098,-0.711,0.0,0.0,1.0,0.0,1.0,0.0
0.862,4.204,32.652,-0.715,-1.834,2.857,1.0,0.0,0.0,0.0,1.0,0.0
0.512,1.855,27.848,-0.056,-0.213,1.238,1.0,0.0,0.0,0.0,0.0,1.0
0.529,1.904,-6.352999999999952,0.321,-0.159,-0.239,0.0,0.0,0.0,1.0,0.0,1.0
0.285,0.719,11.954,0.225,-0.975,-0.054,0.0,0.0,0.0,1.0,0.0,1.0
0.779,0.855,-29.538,-0.842,-0.391,-5.319,0.0,1.0,0.0,0.0,1.0,0.0
0.062,1.23,5.043,-0.281,-0.561,0.239,1.0,0.0,0.0,0.0,0.0,1.0
0.758,3.748,35.232,-0.855,0.979,-0.058,0.0,0.0,1.0,0.0,1.0,0.0
0.77,1.072,-49.490999999999985,0.05,0.31,-4.245,0.0,1.0,0.0,0.0,1.0,0.0
0.553,0.816,-59.014,0.692,-0.113,-5.237,0.0,1.0,0.0,0.0,1.0,0.0
0.462,2.32,74.32000000000005,-0.101,-0.322,4.227,0.0,0.0,0.0,1.0,1.0,0.0
0.049,0.654,-42.884,0.496,0.271,0.265,1.0,0.0,0.0,0.0,0.0,1.0
0.802,1.552,20.465,0.003,0.358,-3.749,0.0,1.0,0.0,0.0,1.0,0.0
0.774,1.005,-2.864,-0.708,-0.601,-0.124,1.0,0.0,0.0,0.0,0.0,1.0
0.761,0.538,-12.812,0.625,0.183,-0.193,0.0,0.0,0.0,1.0,0.0,1.0
0.173,0.277,-52.929,0.109,0.783,-0.115,1.0,0.0,0.0,0.0,0.0,1.0
0.054,0.44,-20.871,-0.71,0.687,-0.246,0.0,0.0,0.0,1.0,0.0,1.0
0.03,4.092,62.335,0.143,1.0,2.178,0.0,1.0,0.0,0.0,0.0,1.0
0.005,0.541,-36.0,0.568,-0.504,2.498,0.0,1.0,0.0,0.0,0.0,1.0
0.633,1.448,-38.934,0.458,-0.313,-0.902,1.0,0.0,0.0,0.0,0.0,1.0
0.311,1.922,-35.49299999999997,0.609,1.216,-0.071,0.0,0.0,1.0,0.0,1.0,0.0
0.362,0.563,-31.699,0.762,0.604,1.974,0.0,1.0,0.0,0.0,0.0,1.0
0.523,0.948,-25.352,0.854,-0.626,-1.184,0.0,0.0,1.0,0.0,0.0,1.0
0.046,0.949,-44.994,-0.913,1.165,-0.288,0.0,0.0,1.0,0.0,0.0,1.0
0.589,2.245,81.322,0.114,-0.161,3.362,1.0,0.0,0.0,0.0,1.0,0.0
0.93,2.981,-46.666,0.208,-0.594,-0.925,0.0,0.0,1.0,0.0,1.0,0.0
0.193,0.65,-28.165,-0.013,-0.384,0.311,1.0,0.0,0.0,0.0,0.0,1.0
0.865,0.942,-39.588,0.113,-1.904,-3.691,0.0,0.0,1.0,0.0,0.0,1.0
0.693,4.796,-4.117,-0.76,0.911,0.497,0.0,0.0,0.0,1.0,1.0,0.0
0.369,2.156,-22.395999999999987,-0.89,-0.441,2.101,0.0,1.0,0.0,0.0,0.0,1.0
0.106,1.569,35.94500000000005,0.815,0.3,0.483,1.0,0.0,0.0,0.0,0.0,1.0
0.651,0.962,-60.803999999999974,-0.007,-0.689,-1.465,1.0,0.0,0.0,0.0,0.0,1.0
0.837,2.167,-22.981,0.705,-0.046,-0.186,0.0,0.0,0.0,1.0,1.0,0.0
0.254,0.925,11.934,0.306,-1.43,-0.237,0.0,0.0,0.0,1.0,0.0,1.0
0.435,2.931,17.001,0.256,0.117,0.441,0.0,0.0,1.0,0.0,0.0,1.0
0.302,0.536,-91.909,-0.977,-1.746,-1.831,0.0,0.0,0.0,1.0,1.0,0.0
0.891,2.324,54.70800000000003,-0.13,0.296,4.971,0.0,0.0,0.0,1.0,1.0,0.0
0.201,1.446,-20.274,-0.993,-0.454,2.084,0.0,1.0,0.0,0.0,0.0,1.0
0.112,2.077,-65.326,0.578,-1.286,0.378,0.0,0.0,0.0,1.0,1.0,0.0
0.605,4.158,-19.628,0.689,0.257,2.596,0.0,1.0,0.0,0.0,0.0,1.0
0.561,1.669,-97.684,-0.911,0.825,-4.492,0.0,0.0,0.0,1.0,1.0,0.0
0.967,2.561,-24.428,-0.922,0.84,-5.562,0.0,1.0,0.0,0.0,1.0,0.0
0.845,1.06,-69.08699999999999,0.543,0.363,2.037,0.0,1.0,0.0,0.0,0.0,1.0
0.621,2.886,-50.163,-0.385,-1.19,3.251,1.0,0.0,0.0,0.0,1.0,0.0
0.17,4.74,26.081,0.616,0.214,0.171,0.0,0.0,0.0,1.0,0.0,1.0
0.798,2.28,8.734000000000037,0.904,1.072,1.259,0.0,0.0,0.0,1.0,1.0,0.0
0.673,2.949,-3.1829999999999927,0.402,-0.591,0.215,1.0,0.0,0.0,0.0,0.0,1.0
0.356,0.737,48.297,0.468,-0.566,0.017,0.0,0.0,1.0,0.0,1.0,0.0
0.073,1.245,-99.99999999999997,0.251,0.608,-0.464,0.0,0.0,1.0,0.0,1.0,0.0
0.821,2.034,-12.833,-0.596,0.075,2.712,1.0,0.0,0.0,0.0,1.0,0.0
0.615,0.537,-89.989,-0.704,-0.749,-2.348,1.0,0.0,0.0,0.0,0.0,1.0
0.102,3.448,15.266,0.344,0.376,-0.148,0.0,0.0,0.0,1.0,0.0,1.0
0.059,2.229,53.08,0.416,0.907,1.01,0.0,0.0,0.0,1.0,1.0,0.0
0.666,0.288,53.50400000000002,0.683,-1.455,4.449,0.0,0.0,1.0,0.0,0.0,1.0
0.91,1.005,-8.7,-0.556,-0.177,1.88,0.0,1.0,0.0,0.0,0.0,1.0
0.882,0.267,63.648000000000025,0.082,0.841,1.418,0.0,1.0,0.0,0.0,0.0,1.0
0.329,1.321,-35.192999999999984,-0.186,-0.447,-1.037,0.0,0.0,1.0,0.0,0.0,1.0
0.749,0.499,52.99000000000001,-0.53,-0.56,0.26,0.0,0.0,1.0,0.0,1.0,0.0
0.874,0.27,29.402,0.136,0.055,3.095,0.0,0.0,0.0,1.0,1.0,0.0
0.614,5.819,22.243,0.354,-0.009,0.765,1.0,0.0,0.0,0.0,0.0,1.0
0.466,2.687,98.705,0.604,-0.793,-5.923,0.0,1.0,0.0,0.0,1.0,0.0
0.837,2.896,55.17500000000001,0.735,0.396,2.603,1.0,0.0,0.0,0.0,0.0,1.0
0.669,0.397,14.674,-0.66,-0.026,1.037,1.0,0.0,0.0,0.0,0.0,1.0
0.427,1.3,36.578,0.272,-0.705,0.181,0.0,0.0,0.0,1.0,0.0,1.0
0.025,0.619,-49.66299999999998,0.022,-0.052,-0.249,0.0,0.0,1.0,0.0,0.0,1.0
0.996,2.319,-69.601,0.696,0.335,3.6,1.0,0.0,0.0,0.0,1.0,0.0
0.705,1.049,44.417,0.774,0.803,0.22,0.0,0.0,1.0,0.0,1.0,0.0
