AMPS,VOLTS,TEMP,DELTA,GAMMA,OUTPUT,MODE_REDACTED,MODE_auto,MODE_beam,MODE_burst,POWER_high,POWER_low
0.353,4.618,-48.347,0.797,0.077,-5.877,0.0,1.0,0.0,0.0,1.0,0.0
0.173,1.26,-43.732999999999976,-0.136,0.745,0.213,0.0,0.0,0.0,1.0,1.0,0.0
0.739,1.987,-39.885,-0.755,0.728,-4.934,0.0,1.0,0.0,0.0,1.0,0.0
0.97,0.232,46.222,0.2,-0.557,6.685,0.0,0.0,1.0,0.0,0.0,1.0
0.067,1.739,6.2379999999999995,-0.718,1.174,0.521,1.0,0.0,0.0,0.0,0.0,1.0
0.565,3.809,49.116,0.79,-0.163,1.963,0.0,0.0,1.0,0.0,0.0,1.0
0.382,1.039,-37.788,-0.693,-0.093,-1.512,0.0,0.0,1.0,0.0,0.0,1.0
0.455,1.333,9.692,0.473,1.43,0.508,1.0,0.0,0.0,0.0,0.0,1.0
0.838,4.913,-73.52,-0.996,-0.742,-5.308,0.0,0.0,0.0,1.0,1.0,0.0
0.629,2.936,12.385000000000048,0.624,-0.648,1.42,0.0,0.0,0.0,1.0,1.0,0.0
0.625,1.886,5.028,-0.179,0.293,0.876,0.0,0.0,0.0,1.0,1.0,0.0
0.911,3.267,84.867,-0.967,-1.228,-5.536,0.0,1.0,0.0,0.0,1.0,0.0
0.901,3.53,94.80900000000003,-0.432,-0.528,-0.027,0.0,0.0,0.0,1.0,0.0,1.0
0.806,1.267,-33.916,-0.519,-0.877,-2.295,0.0,0.0,1.0,0.0,0.0,1.0
0.234,3.367,-20.218,-0.449,0.848,0.119,0.0,0.0,0.0,1.0,0.0,1.0
0.719,0.758,-16.638,0.346,1.649,0.132,0.0,0.0,0.0,1.0,1.0,0.0
0.298,1.44,-5.53,0.595,-0.705,-5.681,0.0,1.0,0.0,0.0,1.0,0.0
0.888,2.979,40.918,0.6,1.412,2.265,1.0,0.0,0.0,0.0,0.0,1.0
0.632,3.997,100.0,-0.433,0.106,3.878,1.0,0.0,0.0,0.0,1.0,0.0
0.821,1.234,-46.756,-0.17,0.205,-0.875,0.0,0.0,1.0,0.0,1.0,0.0
0.248,1.145,32.504,0.473,-0.943,-5.657,0.0,1.0,0.0,0.0,1.0,0.0
0.217,3.621,40.827,-0.607,-0.592,-5.64,0.0,1.0,0.0,0.0,1.0,0.0
0.569,2.984,-37.975,0.223,-0.655,-1.756,0.0,0.0,1.0,0.0,0.0,1.0
0.606,0.113,29.765,0.673,-0.072,1.989,0.0,0.0,0.0,1.0,1.0,0.0
0.296,2.986,61.333,-0.49,0.074,0.068,0.0,0.0,0.0,1.0,0.0,1.0
0.991,1.427,-14.298000000000002,-1.0,0.3,0.029,0.0,0.0,1.0,0.0,1.0,0.0
0.349,3.9,23.073,0.948,0.859,0.686,1.0,0.0,0.0,0.0,0.0,1.0
0.44,2.059,-2.763,0.528,-0.426,-5.451,0.0,1.0,0.0,0.0,1.0,0.0
0.979,3.416,-64.818,0.317,0.472,-5.019,0.0,0.0,1.0,0.0,0.0,1.0
0.963,1.738,7.609,0.531,1.037,0.608,1.0,0.0,0.0,0.0,0.0,1.0
0.968,0.946,-68.493,-0.898,-0.107,-2.628,1.0,0.0,0.0,0.0,0.0,1.0
0.83,0.861,-4.703,-0.949,-0.673,2.026,0.0,1.0,0.0,0.0,0.0,1.0
0.501,2.02,-26.814,-0.421,-1.06,-0.33,0.0,0.0,0.0,1.0,0.0,1.0
0.033,4.674,50.305,0.086,0.238,0.31,0.0,0.0,1.0,0.0,1.0,0.0
0.818,1.26,12.614000000000033,-0.229,0.08,0.189,0.0,0.0,0.0,1.0,0.0,1.0
0.481,2.942,-37.251,-0.468,-0.199,0.175,0.0,0.0,0.0,1.0,0.0,1.0
0.417,1.128,-7.950999999999965,-0.837,0.706,-0.447,0.0,0.0,1.0,0.0,0.0,1.0
0.952,0.852,75.744,0.718,-1.454,1.003,0.0,0.0,1.0,0.0,1.0,0.0
0.267,3.126,15.701,0.335,0.677,2.359,1.0,0.0,0.0,0.0,1.0,0.0
0.585,4.347,66.812,-0.659,-0.527,3.749,1.0,0.0,0.0,0.0,1.0,0.0
0.684,2.73,-3.612,0.717,1.132,-0.454,0.0,0.0,1.0,0.0,0.0,1.0
0.773,2.782,-49.581,0.454,-0.962,-4.987,0.0,1.0,0.0,0.0,1.0,0.0
0.835,0.937,-45.67999999999998,-0.191,0.432,-2.096,0.0,0.0,0.0,1.0,1.0,0.0
0.016,0.551,9.171,0.683,-0.067,-5.926,0.0,1.0,0.0,0.0,1.0,0.0
0.726,0.241,51.698,0.233,-0.195,2.64,1.0,0.0,0.0,0.0,0.0,1.0
0.821,5.683,-41.916,-0.102,-1.194,-1.518,0.0,0.0,0.0,1.0,1.0,0.0
0.118,0.577,-42.181,0.58,0.136,0.025,0.0,0.0,0.0,1.0,0.0,1.0
0.304,0.61,20.734,-0.352,0.865,-0.022,0.0,0.0,0.0,1.0,0.0,1.0
0.916,2.058,-44.201,-0.692,-0.328,0.071,0.0,0.0,1.0,0.0,1.0,0.0
0.321,1.231,-48.669,-0.981,-0.037,-5.909,0.0,1.0,0.0,0.0,1.0,0.0
0.703,2.252,-50.62299999999999,-0.894,0.203,-2.375,0.0,0.0,0.0,1.0,1.0,0.0
0.944,0.226,-55.235,0.182,0.281,-8.154,0.0,0.0,1.0,0.0,0.0,1.0
0.582,1.352,-36.825,0.59,-0.416,2.952,1.0,0.0,0.0,0.0,1.0,0.0
0.628,1.733,49.412000000000035,-0.516,-1.262,0.541,0.0,0.0,1.0,0.0,1.0,0.0
0.227,0.734,-21.622,0.925,-1.786,-6.002,0.0,1.0,0.0,0.0,1.0,0.0
0.975,2.774,12.94,-0.925,-0.159,2.287,1.0,0.0,0.0,0.0,1.0,0.0
0.849,2.404,0.06200000000001182,0.989,0.809,0.036,1.0,0.0,0.0,0.0,0.0,1.0
0.393,3.755,5.008000000000038,0.217,-0.554,0.03,0.0,0.0,1.0,0.0,0.0,1.0
0.517,0.551,39.187,0.826,0.285,1.955,0.0,1.0,0.0,0.0,0.0,1.0
0.909,1.001,-1.83,0.643,1.073,-0.346,0.0,0.0,1.0,0.0,0.0,1.0
0.937,0.542,-2.504,-0.648,0.69,1.213,0.0,0.0,0.0,1.0,1.0,0.0
0.587,2.59,21.14100000000002,0.46,0.488,0.799,1.0,0.0,0.0,0.0,0.0,1.0
0.479,2.028,-45.656,-0.743,0.048,-5.722,0.0,1.0,0.0,0.0,1.0,0.0
0.682,0.628,-36.859,-0.5,-0.416,-0.814,0.0,0.0,0.0,1.0,1.0,0.0
0.933,2.655,-62.467,0.967,0.114,-4.701,0.0,0.0,1.0,0.0,0.0,1.0
0.579,0.761,98.061,-0.535,0.342,0.074,0.0,0.0,0.0,1.0,0.0,1.0
0.571,1.972,-63.926,0.542,-0.189,-1.443,1.0,0.0,0.0,0.0,0.0,1.0
0.535,0.955,-79.789,-0.678,0.958,-3.285,0.0,0.0,0.0,1.0,1.0,0.0
0.96,0.61,95.71100000000001,0.537,0.544,5.166,1.0,0.0,0.0,0.0,0.0,1.0
0.176,1.616,13.812,0.221,-0.245,1.888,0.0,1.0,0.0,0.0,0.0,1.0
0.219,0.831,-9.935999999999979,-0.962,0.994,1.926,0.0,1.0,0.0,0.0,0.0,1.0
0.043,1.099,-20.079,-0.945,0.934,0.198,0.0,0.0,1.0,0.0,1.0,0.0
0.975,0.877,78.617,0.471,1.049,1.849,0.0,1.0,0.0,0.0,0.0,1.0
0.366,1.125,25.25,0.734,-0.234,2.128,0.0,1.0,0.0,0.0,0.0,1.0
0.491,2.362,28.555,-0.138,1.222,0.064,0.0,0.0,1.0,0.0,1.0,0.0
0.469,0.363,40.673,0.12,-0.172,0.954,1.0,0.0,0.0,0.0,0.0,1.0
0.414,1.015,57.228,-0.469,1.273,-0.302,0.0,0.0,0.0,1.0,0.0,1.0
0.225,1.871,-3.075,0.305,-1.649,-0.016,1.0,0.0,0.0,0.0,0.0,1.0
0.028,5.469,5.783,0.603,-0.834,0.138,0.0,0.0,0.0,1.0,0.0,1.0
0.43,1.87,-0.144,-0.76,-0.057,-0.026,0.0,0.0,0.0,1.0,0.0,1.0
0.696,2.308,6.1270000000000095,-0.923,-0.482,0.721,0.0,0.0,1.0,0.0,0.0,1.0
0.547,1.17,-92.45699999999997,-0.464,-1.299,0.129,0.0,0.0,0.0,1.0,0.0,1.0
0.733,1.261,-52.241,0.795,-1.023,-2.589,0.0,0.0,0.0,1.0,1.0,0.0
0.967,0.47,-57.182,-0.155,0.365,1.467,0.0,1.0,0.0,0.0,0.0,1.0
0.779,0.489,80.923,0.286,1.872,3.709,1.0,0.0,0.0,0.0,1.0,0.0
0.162,0.916,-11.148,-0.13,0.032,-5.376,0.0,1.0,0.0,0.0,1.0,0.0
0.535,3.015,37.551,-0.894,-0.056,3.069,1.0,0.0,0.0,0.0,1.0,0.0
0.708,2.587,-25.934,-0.761,1.226,2.72,1.0,0.0,0.0,0.0,1.0,0.0
0.479,2.969,-45.104,-0.952,0.166,-0.063,0.0,0.0,0.0,1.0,0.0,1.0
0.298,1.168,21.641999999999996,0.671,-0.29,0.032,0.0,0.0,0.0,1.0,0.0,1.0
0.009,2.304,56.59100000000001,-0.383,-0.023,0.196,0.0,0.0,1.0,0.0,1.0,0.0
0.66,4.182,-27.368,-0.696,1.611,2.603,0.0,1.0,0.0,0.0,0.0,1.0
0.259,2.873,28.848,-0.097,-0.893,-0.004,0.0,0.0,0.0,1.0,0.0,1.0
0.927,0.81,53.29600000000005,0.006,0.019,1.233,0.0,0.0,1.0,0.0,1.0,0.0
0.87,1.755,-10.572000000000003,0.338,0.556,1.094,0.0,0.0,0.0,1.0,1.0,0.0
0.453,1.128,1.3120000000000118,-0.761,-0.004,1.913,0.0,1.0,0.0,0.0,0.0,1.0
0.501,1.573,43.107,0.021,0.536,0.327,0.0,0.0,0.0,1.0,0.0,1.0
0.271,3.858,-40.378,-0.099,-0.614,-0.975,0.0,0.0,1.0,0.0,0.0,1.0
0.028,3.135,18.28,0.922,-0.743,-0.335,0.0,0.0,0.0,1.0,0.0,1.0
0.57,2.069,72.492,-0.348,-0.476,-4.685,0.0,1.0,0.0,0.0,1.0,0.0
0.237,0.02,100.0,0.486,1.717,1.784,1.0,0.0,0.0,0.0,0.0,1.0
0.698,1.341,-36.318,0.764,0.887,-0.059,0.0,0.0,0.0,1.0,0.0,1.0
0.472,2.002,27.173,0.929,0.074,1.167,0.0,0.0,1.0,0.0,0.0,1.0
0.952,2.061,-90.297,-0.081,1.206,4.407,1.0,0.0,0.0,0.0,1.0,0.0
0.507,3.457,4.323000000000036,0.497,-0.729,0.767,0.0,0.0,0.0,1.0,1.0,0.0
0.515,1.309,51.120000000000005,-0.695,-0.702,1.869,1.0,0.0,0.0,0.0,0.0,1.0
0.918,0.709,17.121,-0.695,0.113,0.071,0.0,0.0,1.0,0.0,1.0,0.0
0.956,0.364,-44.87,-0.478,-0.706,-5.054,0.0,1.0,0.0,0.0,1.0,0.0
0.044,4.135,64.173,0.171,-0.709,0.775,1.0,0.0,0.0,0.0,0.0,1.0
0.246,2.802,-49.405,0.114,0.793,-4.987,0.0,1.0,0.0,0.0,1.0,0.0
0.791,2.09,39.602,0.443,1.068,2.387,0.0,1.0,0.0,0.0,0.0,1.0
0.746,1.134,-10.827,0.51,-0.175,2.154,0.0,1.0,0.0,0.0,0.0,1.0
0.757,0.622,51.208,-0.352,0.519,0.653,0.0,0.0,1.0,0.0,1.0,0.0
0.534,0.418,4.292,0.889,1.504,1.99,0.0,1.0,0.0,0.0,0.0,1.0
0.045,2.056,34.833,-0.672,-1.151,2.54,0.0,1.0,0.0,0.0,0.0,1.0
0.115,0.458,15.151,0.833,1.492,0.96,0.0,0.0,0.0,1.0,1.0,0.0
0.295,1.491,-44.072,0.022,0.453,-1.198,0.0,0.0,1.0,0.0,0.0,1.0
0.414,1.387,-27.54,0.683,1.145,-0.014,0.0,0.0,0.0,1.0,1.0,0.0
0.683,2.04,6.802,0.431,-0.126,0.207,1.0,0.0,0.0,0.0,0.0,1.0
0.213,2.368,-54.695,-0.569,-0.151,0.144,1.0,0.0,0.0,0.0,0.0,1.0
0.722,2.125,50.221,-0.334,-0.069,2.125,1.0,0.0,0.0,0.0,0.0,1.0
0.941,1.141,-0.673,0.274,0.61,0.253,0.0,0.0,1.0,0.0,1.0,0.0
0.518,1.546,-38.783,-0.357,1.182,3.225,1.0,0.0,0.0,0.0,1.0,0.0
0.481,0.52,20.216,-0.18,0.904,1.591,0.0,1.0,0.0,0.0,0.0,1.0
0.005,2.512,-31.772,0.371,0.1,-0.003,0.0,0.0,1.0,0.0,1.0,0.0
0.476,0.958,15.528,0.27,0.121,0.676,1.0,0.0,0.0,0.0,0.0,1.0
0.62,2.095,-9.471,0.287,1.993,2.155,0.0,1.0,0.0,0.0,0.0,1.0
0.528,3.026,-0.966,0.334,-1.352,2.012,0.0,1.0,0.0,0.0,0.0,1.0
0.401,2.149,3.634,-0.543,-1.165,0.124,0.0,0.0,1.0,0.0,0.0,1.0
0.447,2.413,32.796,-0.289,0.18,1.127,0.0,0.0,1.0,0.0,0.0,1.0
0.99,1.074,-2.849,0.16,0.345,2.051,0.0,1.0,0.0,0.0,0.0,1.0
0.258,2.086,35.17900000000003,0.307,1.951,1.062,1.0,0.0,0.0,0.0,0.0,1.0
0.547,0.65,70.07600000000002,0.735,-0.305,2.58,1.0,0.0,0.0,0.0,0.0,1.0
0.818,4.327,-11.615,0.213,-0.04,0.141,0.0,0.0,0.0,1.0,0.0,1.0
0.705,2.581,77.851,0.36,0.108,3.411,1.0,0.0,0.0,0.0,0.0,1.0
0.276,0.818,62.125,-0.159,0.88,0.625,0.0,0.0,1.0,0.0,1.0,0.0
0.82,3.569,-8.624,-0.915,1.163,2.282,0.0,1.0,0.0,0.0,0.0,1.0
0.812,1.62,-68.529,0.199,-0.295,-2.531,1.0,0.0,0.0,0.0,0.0,1.0
0.687,1.735,25.217,-0.832,0.314,0.024,0.0,0.0,1.0,0.0,1.0,0.0
0.386,3.104,-6.458,0.131,-0.306,0.268,0.0,0.0,0.0,1.0,0.0,1.0
0.006,3.405,25.544,-0.134,0.313,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.879,0.193,23.639,0.635,-0.802,3.152,0.0,0.0,1.0,0.0,0.0,1.0
0.576,1.633,29.771,-0.919,0.455,2.017,0.0,0.0,0.0,1.0,1.0,0.0
0.347,1.941,43.91500000000002,-0.545,0.423,3.289,1.0,0.0,0.0,0.0,1.0,0.0
0.9,1.281,-17.956,-0.307,0.113,2.695,1.0,0.0,0.0,0.0,1.0,0.0
0.878,3.324,80.216,-0.403,0.676,-5.117,0.0,1.0,0.0,0.0,1.0,0.0
0.575,2.572,16.05,0.053,-0.62,2.018,0.0,0.0,0.0,1.0,1.0,0.0
0.254,1.974,-28.17,-0.741,-0.117,2.072,0.0,1.0,0.0,0.0,0.0,1.0
0.13,1.328,24.048,0.128,0.597,-0.137,0.0,0.0,0.0,1.0,0.0,1.0
0.285,0.687,24.419,-0.604,0.685,1.744,0.0,1.0,0.0,0.0,0.0,1.0
0.562,2.076,-0.75,0.206,0.039,1.705,0.0,1.0,0.0,0.0,0.0,1.0
0.332,0.872,-13.627,0.874,0.284,0.71,0.0,0.0,0.0,1.0,1.0,0.0
0.531,5.673,-6.79,-0.695,0.21,-0.265,0.0,0.0,0.0,1.0,0.0,1.0
0.776,1.978,-34.961,-0.453,1.232,-5.088,0.0,1.0,0.0,0.0,1.0,0.0
0.517,2.512,-9.964,0.068,0.597,-0.008,0.0,0.0,0.0,1.0,0.0,1.0
0.596,2.174,54.027000000000044,-0.121,-1.497,1.946,1.0,0.0,0.0,0.0,0.0,1.0
0.305,1.071,-18.706,0.87,-0.292,2.578,1.0,0.0,0.0,0.0,1.0,0.0
0.394,2.956,92.762,-0.063,-0.626,4.315,0.0,0.0,0.0,1.0,1.0,0.0
0.11,4.491,-35.563999999999965,0.116,0.667,-0.218,0.0,0.0,0.0,1.0,0.0,1.0
0.857,1.781,34.44500000000005,-0.789,-0.998,2.991,1.0,0.0,0.0,0.0,1.0,0.0
0.429,2.115,-80.38399999999999,-0.382,-0.665,2.245,0.0,1.0,0.0,0.0,0.0,1.0
0.638,2.537,-38.996,0.923,-0.032,-1.041,0.0,0.0,0.0,1.0,1.0,0.0
0.925,2.141,54.053,-0.802,-0.47,2.587,0.0,1.0,0.0,0.0,0.0,1.0
0.762,2.178,53.997000000000014,-0.301,-0.58,-0.286,0.0,0.0,0.0,1.0,0.0,1.0
0.962,0.852,9.893,-0.123,2.0,1.091,0.0,0.0,1.0,0.0,0.0,1.0
0.61,1.294,-27.185,-0.792,-0.074,-1.511,0.0,0.0,1.0,0.0,0.0,1.0
0.025,2.899,-6.511,-0.156,0.562,0.126,0.0,0.0,1.0,0.0,0.0,1.0
0.645,0.975,-83.092,-0.063,-0.254,-1.941,0.0,0.0,1.0,0.0,1.0,0.0
0.638,1.398,-20.510999999999967,-0.945,0.047,2.257,0.0,1.0,0.0,0.0,0.0,1.0
0.155,3.444,-5.621999999999957,-0.085,-1.254,1.849,0.0,1.0,0.0,0.0,0.0,1.0
0.698,2.48,20.976,-0.833,-0.329,2.475,0.0,1.0,0.0,0.0,0.0,1.0
0.076,1.369,40.774,0.914,-0.446,-0.03,0.0,0.0,0.0,1.0,0.0,1.0
0.099,1.29,-37.108,-0.941,-1.084,0.197,0.0,0.0,0.0,1.0,0.0,1.0
0.713,3.114,28.631,-0.837,-0.082,1.132,1.0,0.0,0.0,0.0,0.0,1.0
0.481,1.727,100.0,0.389,-0.696,4.455,0.0,0.0,1.0,0.0,0.0,1.0
0.355,3.57,-0.938,-0.631,0.804,0.009,0.0,0.0,1.0,0.0,0.0,1.0
0.624,2.62,44.315,0.464,-1.748,3.574,0.0,0.0,0.0,1.0,1.0,0.0
0.192,0.909,-84.23599999999999,-0.415,1.183,-0.235,0.0,0.0,1.0,0.0,1.0,0.0
0.034,0.209,32.22300000000001,-0.406,0.283,-0.127,0.0,0.0,0.0,1.0,0.0,1.0
0.423,2.145,-19.806,0.807,0.22,-5.686,0.0,1.0,0.0,0.0,1.0,0.0
0.549,3.728,-32.593,0.137,0.73,3.394,1.0,0.0,0.0,0.0,1.0,0.0
0.23,0.654,-51.096,-0.175,0.0,-1.014,0.0,0.0,1.0,0.0,0.0,1.0
0.078,2.026,35.65100000000001,-0.439,-0.283,1.538,0.0,0.0,0.0,1.0,1.0,0.0
0.923,1.07,-23.668,-0.408,1.789,-0.209,0.0,0.0,0.0,1.0,0.0,1.0
0.272,0.785,-23.68,0.944,-0.249,1.923,0.0,1.0,0.0,0.0,0.0,1.0
0.602,2.316,-100.0,0.743,-0.181,2.148,0.0,1.0,0.0,0.0,0.0,1.0
0.475,1.678,95.467,-0.01,1.591,2.095,0.0,1.0,0.0,0.0,0.0,1.0
0.586,1.883,-55.20599999999999,-0.869,-0.548,3.368,1.0,0.0,0.0,0.0,1.0,0.0
0.68,1.143,52.012,0.773,0.201,3.532,1.0,0.0,0.0,0.0,1.0,0.0
0.624,1.45,10.403,-0.32,1.227,-5.152,0.0,1.0,0.0,0.0,1.0,0.0
0.863,2.01,-40.43599999999998,-0.069,-0.008,3.404,1.0,0.0,0.0,0.0,1.0,0.0
0.192,4.062,-16.436,0.505,0.427,-0.028,0.0,0.0,0.0,1.0,0.0,1.0
0.186,1.304,-90.263,0.13,1.379,-1.796,0.0,0.0,1.0,0.0,0.0,1.0
0.288,1.187,-15.357,0.027,-0.158,2.274,1.0,0.0,0.0,0.0,1.0,0.0
0.982,1.51,42.129,0.841,-0.233,4.502,0.0,0.0,0.0,1.0,1.0,0.0
0.461,0.604,-7.64,-0.091,-0.098,0.913,0.0,0.0,0.0,1.0,1.0,0.0
0.844,1.808,-9.422,0.249,-0.537,2.29,1.0,0.0,0.0,0.0,1.0,0.0
0.392,1.158,33.581,-0.393,-0.208,0.922,1.0,0.0,0.0,0.0,0.0,1.0
0.747,2.433,-60.934,-0.809,1.237,-1.804,1.0,0.0,0.0,0.0,0.0,1.0
0.161,0.576,-19.087,0.985,0.337,-0.046,0.0,0.0,0.0,1.0,0.0,1.0
0.601,1.857,18.79600000000005,-0.624,-1.101,0.882,0.0,0.0,1.0,0.0,0.0,1.0
0.498,1.225,0.8760000000000332,-0.509,-0.647,2.101,0.0,1.0,0.0,0.0,0.0,1.0
0.956,2.178,-373.15,0.299,1.049,-8.323,0.0,0.0,1.0,0.0,0.0,1.0
0.345,3.22,-70.323,0.767,-0.059,3.862,1.0,0.0,0.0,0.0,1.0,0.0
0.959,2.07,7.083000000000027,0.974,0.574,0.782,1.0,0.0,0.0,0.0,0.0,1.0
0.239,2.379,-20.762,0.084,0.641,-0.068,0.0,0.0,0.0,1.0,0.0,1.0
0.998,1.674,42.883,-0.663,0.754,3.624,0.0,0.0,1.0,0.0,0.0,1.0
0.377,1.603,85.32300000000004,0.723,-0.112,2.122,0.0,1.0,0.0,0.0,0.0,1.0
0.353,1.491,62.52800000000002,-0.242,0.852,1.949,0.0,1.0,0.0,0.0,0.0,1.0
0.462,2.873,15.183,-0.885,-0.52,0.485,0.0,0.0,1.0,0.0,0.0,1.0
0.248,0.516,-10.349,-0.033,0.868,0.03,1.0,0.0,0.0,0.0,0.0,1.0
0.495,4.994,-22.452,-0.723,-1.396,0.017,0.0,0.0,1.0,0.0,1.0,0.0
0.995,2.425,-75.999,-0.137,0.802,-1.241,0.0,0.0,1.0,0.0,1.0,0.0
0.805,2.372,48.599,-0.065,-1.194,3.321,0.0,0.0,1.0,0.0,0.0,1.0
0.395,0.429,66.448,0.005,-0.732,1.604,0.0,1.0,0.0,0.0,0.0,1.0
0.359,0.572,-50.963,0.638,-0.942,-5.501,0.0,1.0,0.0,0.0,1.0,0.0
0.251,2.198,-100.0,-0.406,0.505,-0.499,0.0,0.0,1.0,0.0,1.0,0.0
0.482,0.786,-34.21999999999997,-0.275,0.492,-0.146,0.0,0.0,0.0,1.0,0.0,1.0
0.775,1.015,10.144,0.88,-0.535,-5.591,0.0,1.0,0.0,0.0,1.0,0.0
0.759,0.219,23.66500000000002,-0.462,0.14,1.012,0.0,1.0,0.0,0.0,0.0,1.0
0.286,2.133,-38.65999999999997,-0.759,1.024,-0.461,0.0,0.0,1.0,0.0,1.0,0.0
0.974,2.674,-16.551,-0.924,1.108,-0.045,0.0,0.0,0.0,1.0,1.0,0.0
0.609,1.049,53.632,-0.614,-1.196,0.602,0.0,0.0,1.0,0.0,1.0,0.0
0.502,2.039,98.044,-0.075,-0.267,-0.155,0.0,0.0,0.0,1.0,0.0,1.0
0.406,3.06,65.211,0.23,0.117,3.909,1.0,0.0,0.0,0.0,1.0,0.0
0.788,1.747,-64.6,-0.984,-0.215,-4.872,0.0,0.0,1.0,0.0,0.0,1.0
0.987,3.663,-44.536,-0.106,0.562,2.388,0.0,1.0,0.0,0.0,0.0,1.0
0.617,1.516,-10.179,0.234,-0.884,-0.302,0.0,0.0,0.0,1.0,0.0,1.0
0.199,1.657,74.846,0.761,-0.367,1.848,0.0,1.0,0.0,0.0,0.0,1.0
0.967,4.542,-50.038,0.495,-0.563,-3.553,0.0,0.0,1.0,0.0,0.0,1.0
0.59,2.197,-2.202,-0.969,-0.455,2.269,0.0,1.0,0.0,0.0,0.0,1.0
0.273,5.277,25.001000000000033,0.895,-0.333,3.193,1.0,0.0,0.0,0.0,1.0,0.0
0.789,2.278,70.993,0.477,0.63,0.465,0.0,0.0,0.0,1.0,0.0,1.0
0.668,1.325,49.484,0.002,-0.226,-0.031,0.0,0.0,0.0,1.0,0.0,1.0
0.572,1.382,-1.895,-0.77,-0.79,2.113,0.0,1.0,0.0,0.0,0.0,1.0
0.477,1.097,-25.47999999999999,0.86,0.824,0.171,0.0,0.0,0.0,1.0,1.0,0.0
0.497,3.074,56.819,-0.371,-0.209,2.221,1.0,0.0,0.0,0.0,0.0,1.0
0.806,0.892,-54.71199999999999,0.66,-0.378,-1.789,1.0,0.0,0.0,0.0,0.0,1.0
0.421,0.502,-57.535,-0.779,0.257,-0.646,1.0,0.0,0.0,0.0,0.0,1.0
0.928,0.799,-26.085,0.925,0.481,-1.089,1.0,0.0,0.0,0.0,0.0,1.0
0.554,1.264,42.641,0.43,-0.406,2.221,0.0,0.0,1.0,0.0,0.0,1.0
0.532,1.309,-21.46,0.165,-0.863,0.211,0.0,0.0,0.0,1.0,1.0,0.0
0.114,0.754,-43.308,-0.76,-0.109,1.847,0.0,1.0,0.0,0.0,0.0,1.0
0.026,0.911,-20.954,-0.025,-1.028,1.962,0.0,1.0,0.0,0.0,0.0,1.0
0.984,2.303,-62.789,-0.254,1.065,-2.746,1.0,0.0,0.0,0.0,0.0,1.0
0.376,1.548,46.929,-0.799,-0.405,0.26,0.0,0.0,1.0,0.0,1.0,0.0
0.542,0.668,-100.0,-0.813,0.337,-1.916,1.0,0.0,0.0,0.0,0.0,1.0
0.311,2.115,97.978,-0.794,0.458,0.285,0.0,0.0,1.0,0.0,1.0,0.0
0.743,0.208,-48.29799999999997,0.466,0.377,-0.243,0.0,0.0,0.0,1.0,0.0,1.0
0.305,1.848,77.75600000000003,-0.015,0.655,1.182,0.0,0.0,1.0,0.0,1.0,0.0
0.801,0.337,28.101,-0.391,0.523,1.674,0.0,1.0,0.0,0.0,0.0,1.0
0.48,1.213,11.673,0.134,-0.422,-4.661,0.0,1.0,0.0,0.0,1.0,0.0
0.942,0.773,31.677,-0.443,0.644,0.325,0.0,0.0,1.0,0.0,1.0,0.0
0.293,0.564,36.359,0.944,1.192,0.827,0.0,0.0,1.0,0.0,0.0,1.0
0.934,1.276,76.189,-0.843,0.221,4.066,1.0,0.0,0.0,0.0,0.0,1.0
0.238,2.681,40.48700000000002,-0.76,0.049,2.048,0.0,1.0,0.0,0.0,0.0,1.0
0.794,0.627,-48.616,-0.461,-0.643,3.52,1.0,0.0,0.0,0.0,1.0,0.0
0.979,2.182,-66.137,0.943,0.326,-0.553,0.0,0.0,1.0,0.0,1.0,0.0
0.61,0.952,-41.806,-0.621,-0.238,-0.871,1.0,0.0,0.0,0.0,0.0,1.0
0.007,2.678,-78.101,0.175,-0.587,-6.046,0.0,1.0,0.0,0.0,1.0,0.0
0.844,3.735,21.697,-0.61,-1.057,1.991,0.0,0.0,0.0,1.0,1.0,0.0
